Question,Label
What’s new and exciting?,Yes
How’s it hanging?,Yes
How’s your family?,Yes
How’s work treating you?,Yes
How’s school going?,Yes
How’s your weekend been?,Yes
How’s your day been so far?,Yes
How’s the new job?,Yes
"Hello, nice to see you!",Yes
"Long time, no talk.",Yes
How’s the project coming along?,Yes
What’s the latest with you?,Yes
How are things going for you?,Yes
Nice to hear from you!,Yes
Great to hear from you!,Yes
How’s the hustle?,Yes
How’s your health?,Yes
What have you been up to?,Yes
What’s keeping you busy these days?,Yes
Good to connect with you again.,Yes
How’s your spirit?,Yes
How are things shaping up?,Yes
What’s the vibe?,Yes
How’s everything at home?,Yes
How’s the little one?,Yes
"Hey, long time no see!",Yes
It’s been forever!,Yes
What’s going on in your world?,Yes
Good to bump into you.,Yes
Great to finally meet you.,Yes
Fancy seeing you here!,Yes
It’s great to catch up.,Yes
How’s everything in your life?,Yes
What’s been going on with you?,Yes
Always a pleasure to see you.,Yes
Hello again.,Yes
"Hey, you!",Yes
"Hi there, friend.",Yes
How’s your day treating you?,Yes
What’s crackin’?,Yes
What’s good?,Yes
"Hi, buddy!",Yes
"Yo, what’s the scoop?",Yes
"Hey, sunshine!",Yes
Top of the morning to you.,Yes
Sup?,Yes
Hola!,Yes
Good day!,Yes
"Howdy, friend!",Yes
What’s shaking?,Yes
How’s it?,Yes
How’s the grind?,Yes
"Hi, stranger!",Yes
Great to cross paths with you.,Yes
Salutations!,Yes
"Hello, good to meet you.",Yes
"Hey, nice to see you again.",Yes
How’s life?,Yes
What’s happening with you?,Yes
"Hi, how are you holding up?",Yes
"Hello, hope you’re doing well.",Yes
What’s new in your life?,Yes
It’s so nice to see you again.,Yes
"Hi there, how’s your day so far?",Yes
How’s your week shaping up?,Yes
"Hello, how’s the family?",Yes
What’s new in the neighborhood?,Yes
"Yo, what’s been up?",Yes
How’s everything at work?,Yes
"Hey, anything exciting going on?",Yes
"Hello, what’s new with you?",Yes
"Hi, how’s the weather treating you?",Yes
"Hey, how’s everything on your end?",Yes
"Hello, hope today’s been kind to you.",Yes
"Hi, how are things going lately?",Yes
What’s been keeping you busy?,Yes
"Hi there, how’s the world treating you?",Yes
